Section,Name,How_knew_David,Tribute,Name_for_index
PERSON,Biswa Sengupta,,"David MacKay was one of those rare individuals who made you feel, simply by being in his presence, that understanding the world deeply was both possible and joyful. As my PhD advisor, he shaped not just my technical foundations in information theory, but my entire way of thinking about science.

What set David apart was the combination of intellectual brilliance and genuine warmth. He had an extraordinary gift for making the profound feel accessible — never condescending, always curious, always willing to sit with a confused student and work through an idea from first principles until the light came on. His patience was boundless, and his enthusiasm infectious. Working through problems with David felt less like being taught and more like being invited into a conversation he'd been having with the universe for decades.

His book Information Theory, Inference, and Learning Algorithms is, for many of us, not merely a textbook but a companion — a reflection of the way he thought: rigorous yet playful, deep yet generous. It carries his voice so completely that reading it still feels like hearing him think aloud.

Beyond the science, David was simply a good human being. Kind, unpretentious, and genuinely interested in people. He led by example — in his intellectual honesty, in his commitment to open science, and in the quiet but profound way he treated everyone around him with respect and care.

I am who I am as a researcher because of David. The world is a lesser place without him, and a better one for everything he left behind.","Sengupta, Biswa"
PERSON, David Spiegelhalter,,"I first met David when he arrived in Cambridge in the early 1990s, and he
seemed to immediately know everything about everything: neural networks,
Bayesian inference, Markov chain Monte Carlo, all the things I had taken years to
get any grasp of. He really appreciated the work we were doing in making
complex Bayesian analysis easily available to researchers. I remained in awe of
him over the years, and he was always so encouraging and helpful, and we
shared an obsession with trying to use whole numbers and simple arithmetic to
communicate complex ideas, whether energy usage or risk.
He was such a familiar figure, on his bicycle, ready with a smile, in his shorts and
sandals (and of course his socks). For a while we both played the bass drum in
a Samba band together. And then the next moment we were discussing the
iniquities of the Sally Clark case, where statistics had been horribly misused in a
wrongful conviction for murder.

I can get my own little tribute down to 75 characters: Probably the most intelligent, principled, and fun person I shall ever know.","Spiegelhalter, David"
SEWTHA,Andrew Harmsworth FRAS,"Kept bumping in to him at events in Cambridge, including his book launch, and became friends on social media - he helped me take on greenwashing in school sustainability ‘resources’.","As a physics teacher, David’s book launch lecture of SEWTHA was game-changing. Pupils of mine who were fortunate enough to hear him speak over many years were influenced in their higher education direction by him. It stands the test of time as the best PowerPoint presentation I’ve ever witnessed and I even teach pupils how to present like David! He sat behind a group of my sixth formers at the cinema for the Premiere of Age of Stupid, and he laughed at least as much as me. I feel deeply fortunate to have crossed paths with David for so many years and know that his work still generates ripples of change. What a legacy — he’d be amazed at the speed of technological change and the affordability of sustainable energy solutions. I’ve just had a Heat Pump installed and - of course - it was David who taught me all about them!","Harmsworth, Andrew"
SEWTHA,Stefan Paetke,,"I knew David via Darwin College and SEWTHA (remarkably incisive account) - great discussions over college lunches discussing cycling and making his and Ramesh's house energy efficient, such a loss to us all but very happy memories.","Paetke, Stefan"
DASHER,Professor Annalu Waller OBE,We collaborated on 'Bliss' Dasher,"David cared deeply about the world and valued people in all their diversity. In the midst of all his world-changing work, David made time and applied his creative genius to revolutionising the field of augmentative and alternative communication (AAC). By applying probabilistic modelling to language, David invented a text entry system which enables physically disabled typists to type at near-speaking rates in many languages. David and I collaborated on developing a version of Dasher to work with Bliss, a graphic-based language used by AAC users. We had such fun. Sitting in a pub in Cambridge, I had the absolute privilege of teaching David a 'new' language. His passion for improving life for everyone, and his humility in wanting to share in the lives of the most vulnerable, marked David out as one of the most inspiring individuals I have had the honour to call ... friend.","Waller, Annalu"
SEWTHA,Ben Tristem,online education entrepreneur,"David's book SEWTHA was recommended to me as ""by far the best analysis of sustainable energy I've read"". The book acted as a scaffold for year-long deep dive into the topic, and helped me to educate 1000s of people on the topic. Thank you David.","Tristem, Ben"
SEWTHA,Ian Llewellyn,We worked together at the Department of Energy & Climate Change (DECC),"David during his time as Chief Scientific Adviser at the Department of Energy and Climate Change, David set up the first engineering team in the department of whom I was one humble member. He was very generous with his time, and we all received a copy of SEWTHA suitably signed with which to guide us. David didn't mind being controversial when he knew that conventional wisdom was wrong and encouraged original thought, provided it could be supported by hard data. I think that David would be impressed by the progress we have made in decarbonisation since his death and our plans to achieve 95% decarbonisation of the electricity by 2030- a target that is only possible due to David's work.","Llewellyn, Ian"
SEWTHA,Ken Wright,Colleague at DECC,"David changed my life in many ways - not only acting as an inspiration for anyone with the spirit of intellectual curiosity about them but also, through work on the 2050 calculator, to forego meat in my diet for nearly 10 years now. I feel privileged to have had the chance to work with him directly and miss his brave, evidence-armed approach to life.  ","Wright, Ken"
CLARITY,Felicia Kemp ,David headed the Chief Scientist Advisor Team at DECC where I was a PA supporting one of the Scientist.   He always made time for everyone no matter what their grade was and that was so unique.  He was a special and caring person.   ,David made complex things simple to understand for someone like me who was a PA in his team.  ,"Kemp, Felicia"
INFORMATION_THEORY,Melanie Rey,"saw his talk on Information Theory and Sustainable Energy at ICML (Edinburgh, 2012)","I was still in my PhD years when I saw David MacKay's talk on Information Theory and Sustainable Energy at ICML (Edinburgh, 2012). More than a decade later, and still working in AI, I remember it as the best ML talk I have ever seen. Not simply because it was clever, surprising, and entertaining, but because it was fundamentally about sharing, sharing knowledge, and sharing passion. A bit of this passion has remained with me since. ","Rey, Melanie"
